Designator,MPN/Seeed SKU,Qty
"C1, C3, C4, C2, C8, C12, C19, C21, C27, C26, C28, C30, C29, C32, C39, C41, C36, C38, C45, C44, C46, C43, C42, C51, C49, C48,C35",302010165,27
"C5, C10, C11, C9, C20, C25, C37", C2012X5R1E226MT000E,7
"C7, C50",302010178,2
"C14, C15, C17, C18, C16, C23, C24",CL21C102JBCNNNC,7
"C31, C40",302010148,2
C34,202R18W102KV4E,1
C47,302010175,1
D2,304090039,1
D5,304090046,1
D9,304090057,1
"D7, D8, D11",SD0805S020S1R0,3
D10,BAT54CLT1G,1
F1,3413.0329.22,1
FB1,1-1624117-7,1
IC1,FXL6408UMX,1
IC2,ATA6561-GAQW-N,1
IC3,ICL3221EIVZ,1
J14,105017-0001,1
PS1,V78E05-1000-SMT-TR,1
"Q2, Q1","BC817-40,215",2
"R1, R25, R33, R39, R38, R41",301010351,6
"R3, R17",CRCW0805620RFKEAC,2
"R10, R6, R18, R20, R24, R23, R22, R31, R35",CRCW080547K0FKEAC,9
"R11, R12, R13, R7, R8, R9, R36, R37, R40",301010311,9
"R14, R26, R27, R30, R29, R43, R50, R51, R52, R53",301012194,10
"R2, R16, R15, R54",RC0805FR-0724RL,4
"R19, R21, R32, R48",0805W8F1212T5E,4
R28,RC0805FR-07220KL,1
R34,0805W8F2212T5E,1
"R42, R44",301011479,2
"R45, R46, R47, R49",0805W8F499JT5E,4
SW1,PTS645SM43SMTR92LFS,1
U1,ESP32-WROOM-32,1
U2,AZ1117IH-3.3TRG1,1
"U3, U5, U9",VNH7070ASTR,3
U4,ADS1115IDGSR,1
U6,PCA9306DCTR,1
U7,TPD3E001DRLR,1
U8,CP2102N-A01-GQFN24R,1
U10,NUD3124LT1G,1
U11,LAN8720A-CP-TR-ABC,1
U12,LSM9DS1TR,1
