Designator,Qty,MPN,maker,type,value,detail,mouserNO.,DigikeyNO.,footprints
"C6, C13, C22, C33, ",4,UCM1V561MNL1GS,Nichicon,CP,560u,Polarized capacitor,647-UCM1V561MNL1GS ,,Capacitor_SMD:CP_Elec_10x10.5
"J1, ",1,1814883,Phoenix Contact,PTSM-Header-Horizontal-6,PTSM-Header-Horizontal-6,,651-1814883,277-9960-1-ND,Connector_own:1814883
"J3, ",1,1814896,Phoenix Contact,PTSM-Header-Horizontal-7,PTSM-Header-Horizontal-7,,651-1814896,277-9961-1-ND,Connector_own:1814896
"J4, ",1,1836366,Phoenix Contact,277-16334-ND ,CCA-Header-Horizontal-4,,651-1836366 ,277-16334-ND,Connector_own:1836366
"J5, ",1,1814870,Phoenix Contact,PTSM-Header-Horizontal-5,PTSM-Header-Horizontal-5,,651-1814870,277-9959-1-ND,Connector_own:1814870
"J7, ",1,68016-404HLF,FCI / Amphenol,Conn_01x04_Male,Conn_01x04_Male,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",649-68016-404HLF,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal
"J8, ",1,M20-9770446,Harwin,Conn_01x04_Male,Conn_01x04_Male,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",855-M20-9770446 ,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical
"J9, J10, J11, ",3,M20-7820842,Harwin,Conn_01x08_Female,Conn_01x08_Female,"Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",855-M20-7820842,,Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical
"J12, ",1,68021-404HLF,FCI / Amphenol,Conn_02x02_Odd_Even,Conn_02x02_Odd_Even,"Generic connector, double row, 02x02, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",649-68021-404HLF,,Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Horizontal
"J13, J17, ",2,PRT-14417,SparkFun Electronics,SM04B-SRSS-TB(LF)(SN),SM04B-SRSS-TB(LF)(SN),"JST (JAPAN SOLDERLESS TERMINALS) - SM04B-SRSS-TB(LF)(SN) - CONNECTOR, HEADER, SMT, R/A, 1MM, 4WAY",474-PRT-14417,455-1804-1-ND,Connector_own:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal
"J15, ",1,RJMG1BD3B8K1ANR,FCI / Amphenol,RJ45_Amphenol_RJMG1BD3B8K1ANR,RJ45_Amphenol_RJMG1BD3B8K1ANR,"1 Port RJ45 Magjack Connector Through Hole 10/100 Base-T, AutoMDIX",523-RJMG1BD3B8K1ANR ,RJMG1BD3B8K1ANR-ND,Connector_own:RJ45_Amphenol_RJMG1BD3B8K1ANR
"J16, ",1,LD09P33E4GV00LF,FCI / Amphenol,DB9_Male_MountingHoles,DB9_Male_MountingHoles,"9-pin male D-SUB connector, Mounting Hole",649-LD09P33E4GV00LF ,609-5186-ND,Connector_own:LD09P33E4GV00LF
"J18, ",1,1814841,Phoenix Contact,PTSM-Header-Horizontal-2,PTSM-Header-Horizontal-2,,651-1814841,277-9956-1-ND,Connector_own:1814841
"K1, K2, ",2,CP1SA-12V-Z,Panasonic,CP1SA-12V-Z,CP1SA-12V-Z,"PANASONIC ELECTRIC WORKS - CP1SA-12V-Z - RELAY, AUTOMOTIVE, SPDT, 14VDC, 20A",769-CP1SA-12V-Z,255-3417-1-ND,Relay_own:CP1SA12VZ
